entity_id	name	type	language	source_id	note
SSA:0000001	SRKW	hidden	en	SEED	Common abbreviation; matches in search, never displayed.
SSA:0000001	Southern Resident killer whale	common	en	SEED	
SSA:0000002	Transient	historical	en	SEED	Superseded term; retained so historical text still resolves.
SSA:0000002	Biggs	hidden	en	SEED	Apostrophe-free spelling, for autocomplete.
SSA:0000002	Bigg's killer whale	common	en	SEED	
SSA:0000020	Js	hidden	en	SEED	As used in bout name "Faint Js".
SSA:0000101	Tahlequah	common	en	SEED	
SSA:0000101	J-35	hidden	en	SEED	Hyphenated spelling.
SSA:0000102	Phoenix	common	en	SEED	
SSA:0000103	Scarlet	common	en	SEED	
SSA:0000104	Onyx	common	en	SEED	
SSA:0000105	Princess Angeline	common	en	SEED	
SSA:0000030	J17	hidden	en	SEED	Bare designation, as used in catalogues.
SSA:0000030	J17 matriline	hidden	en	SEED	
SSA:0000031	L32	hidden	en	SEED	Bare designation, as used in catalogues.
SSA:0000040	T090	hidden	en	SEED	Bare designation, as used in catalogues.
SSA:0000040	T090 matriline	hidden	en	SEED	
SSA:0000900	Killer whale	common	en	SEED	
SSA:0000900	orca	hidden	en	SEED	
SSA:0000901	Humpback whale	common	en	SEED	
SSA:0000901	humpback	hidden	en	SEED	
SSA:0000902	Steller sea lion	common	en	SEED	
SSA:0000903	California sea lion	common	en	SEED	
SSA:0000903	CA sea lion	hidden	en	SEED	As used in bout name "CA sea lion barks at Orcasound Lab".
SSA:0000904	Harbour seal	common	en	SEED	
SSA:0000904	harbor seal	hidden	en	SEED	US spelling.
SSA:0000905	Gray whale	common	en	SEED	
SSA:0000905	Grey whale	hidden	en	SEED	Canadian spelling, as in the HALLO labels.
SSA:0000906	River otter	common	en	SEED	
SSA:0000906	otter	hidden	en	SEED	As tagged in OrcaHello bouts. Ambiguous since SSA:0000918 (sea otter) entered the register; a bare "otter" near a hydrophone is almost always this one.
SSA:0000907	Bird	common	en	SEED	
SSA:0000908	Gull	common	en	SEED	
SSA:0000909	Pigeon guillemot	common	en	SEED	
SSA:0000909	PIGU	hidden	en	SEED	Birder four-letter code, used as a tag by OrcaHello moderators.
SSA:0000910	Osprey	common	en	SEED	
