taxon_id	parent_id	rank	scientific_name	source_id
NCBITaxon:117571	NCBITaxon:117570	clade	Euteleostomi	NCBI
NCBITaxon:131567		cellular root	cellular organisms	NCBI
NCBITaxon:161921	NCBITaxon:29083	species	Arctocephalus townsendi	NCBI
NCBITaxon:169417	NCBITaxon:9655	subfamily	Lutrinae	NCBI
NCBITaxon:175121	NCBITaxon:9126	superfamily	Passeroidea	NCBI
NCBITaxon:314145	NCBITaxon:1437010	superorder	Laurasiatheria	NCBI
NCBITaxon:379584	NCBITaxon:33554	suborder	Caniformia	NCBI
NCBITaxon:436486	NCBITaxon:8492	clade	Dinosauria	NCBI
NCBITaxon:436489	NCBITaxon:436486	clade	Saurischia	NCBI
NCBITaxon:436491	NCBITaxon:436489	clade	Theropoda	NCBI
NCBITaxon:436492	NCBITaxon:436491	clade	Coelurosauria	NCBI
NCBITaxon:1329799	NCBITaxon:32561	clade	Archelosauria	NCBI
NCBITaxon:1338369	NCBITaxon:8287	clade	Dipnotetrapodomorpha	NCBI
NCBITaxon:1437010	NCBITaxon:9347	clade	Boreoeutheria	NCBI
NCBITaxon:2558200	NCBITaxon:3073811	order	Accipitriformes	NCBI
NCBITaxon:2653789	NCBITaxon:91561	suborder	Whippomorpha	NCBI
NCBITaxon:3072905	NCBITaxon:379584	clade	Pinnipedia	NCBI
NCBITaxon:3072906	NCBITaxon:379584	superfamily	Musteloidea	NCBI
NCBITaxon:3073808	NCBITaxon:3078114	clade	Telluraves	NCBI
NCBITaxon:3073809	NCBITaxon:3073808	clade	Australaves	NCBI
NCBITaxon:3073811	NCBITaxon:3073808	clade	Accipitrimorphae	NCBI
NCBITaxon:3078114	NCBITaxon:8825	clade	Neoaves	NCBI
NCBITaxon:3371155	NCBITaxon:3814641	species	Aethalodelphis obliquidens	NCBI
NCBITaxon:3410118	NCBITaxon:9709	subfamily	Phocinae	NCBI
NCBITaxon:3410119	NCBITaxon:9709	subfamily	Monachinae	NCBI
NCBITaxon:3410122	NCBITaxon:3410119	tribe	Miroungini	NCBI
NCBITaxon:3814641	NCBITaxon:9726	genus	Aethalodelphis	NCBI
