entity_id	ancestor_id	depth	ancestor_label	ancestor_kind	ancestor_rank
SSA:0002028	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002028	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002029	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002029	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002030	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002030	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002031	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002031	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002032	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002032	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002033	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002033	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002034	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002034	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002035	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002035	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002036	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002036	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002037	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002037	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002038	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002038	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002039	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002039	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002040	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002040	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002041	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002041	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002042	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002042	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002043	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002043	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002044	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002044	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002045	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002045	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002046	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002046	SSA:0000900	2	Orcinus orca	taxon	
